Title,Original Title,Other Titles,Rating,Rating People
193,岁月神偷,歲月神偷,"1969太空漫游, Echoes Of The Rainbow",8.7,600960
194,东京教父,東京ゴッドファーザーズ,Tokyo Godfathers,9.0,271397
195,高山下的花环,N/A,"卫国军魂(港), Wreaths at the Foot of the Mountain",9.5,135486
196,忠犬八公物语,ハチ公物語,"八千公物语, 阿八的故事",9.2,211202
197,魔女宅急便,魔女の宅急便,"魔女琪琪(台), 小魔女限时专送",8.7,502802
198,荒蛮故事,Relatos salvajes,"蛮荒故事, 生命中最抓狂的小事(台)",8.8,477669
199,遗愿清单,The Bucket List,"玩转身前事(港), 一路玩到挂(台)",8.7,512203
200,大佛普拉斯,N/A,The Great Buddha+,8.7,524961
201,贫民窟的百万富翁,Slumdog Millionaire,"一百万零一夜(港), 贫民百万富翁(台)",8.6,788360
202,东邪西毒,東邪西毒,Ashes of Time,8.6,616174
203,你看起来好像很好吃,おまえうまそうだな,"你看起来很好吃(台), 你看上去好像很好吃",8.9,360489
204,源代码,Source Code,"启动原始码(台), 危机解密(港)",8.6,895364
205,疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,"末日先锋：战甲飞车(港), 疯狂麦斯：愤怒道(台)",8.7,595152
206,可可西里,N/A,Kekexili: Mountain Patrol,8.9,331359
207,爆裂鼓手,Whiplash,"鼓动真我(港), 进击的鼓手(台)",8.6,661230
208,芙蓉镇,N/A,Hibiscus Town,9.3,171962
209,城市之光,City Lights,"City Lights: A Comedy Romance in Pantomime, Lichter der Großstadt",9.3,163381
210,波西米亚狂想曲,Bohemian Rhapsody,"波希米亚狂想曲：摇滚传说(港), 波希米亚狂想曲(台)",8.6,663778
211,黑天鹅,Black Swan,"夺命黑天鹅, 霸王别鹅(豆友译名)",8.6,823421
212,花束般的恋爱,花束みたいな恋をした,"她和他的恋爱花期(港), 爱如花束 恋恋不忘",8.6,760060
213,青蛇,N/A,Green Snake,8.6,570828
214,爱乐之城,La La Land,"星声梦里人(港), 乐来越爱你(台)",8.4,1042534
215,终结者2：审判日,Terminator 2: Judgment Day,"未来战士2(港), 魔鬼终结者2(台)",8.8,368731
216,哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,"哈利波特7：死神的圣物1(港, 台) ",8.6,660976
217,白日梦想家,The Secret Life of Walter Mitty,"发梦王大历险(港), 白日梦冒险王(台)",8.6,594232
218,初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,"初恋那件小事(港), 暗恋那点小事",8.5,1028502
219,雨人,Rain Man,"手足情未了(港), 手足情深",8.7,430710
220,人工智能,A.I. Artificial Intelligence,AI人工智慧,8.7,483449
221,新龙门客栈,新龍門客棧,New Dragon Gate Inn,8.7,486218
222,无耻混蛋,Inglourious Basterds,"希魔撞正杀人狂(港), 恶棍特工(台)",8.7,528310
223,真爱至上,Love Actually,"真的恋爱了(港), 爱是您，爱是我(台)",8.5,785586
224,虎口脱险,La grande vadrouille,"横冲直撞出重围(港), 大進擊(台)",8.9,282595
225,崖上的波妞,崖の上のポニョ,"悬崖上的金鱼姬, 悬崖上的金鱼公主",8.6,548977
226,恋恋笔记本,The Notebook,"忘了·忘不了(港), 手札情缘(台)",8.5,724345
227,罗生门,羅生門,Rashomon,8.8,343545
228,千钧一发,Gattaca,"变种异煞(港), 自然人",8.8,331317
229,大红灯笼高高挂,N/A,"Raise The Red Lantern, Épouses et concubines",8.8,339349
230,彗星来的那一夜,Coherence,"相干性, 相干效应",8.6,649769
231,海边的曼彻斯特,Manchester by the Sea,情系海边之城(港),8.6,617722
232,哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,"哈利波特5：凤凰会的密令(港, 台) ",8.5,659604
